gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,Yes,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes,Electronic check,79.25,793.55,Yes
Male,No,No,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),20.5,402.85,No
Female,No,No,No,2,No,No phone service,DSL,No,No,No,No,No,No,No,Electronic check,24.5,46.4,No
Male,No,No,No,5,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,Bank transfer (automatic),94.85,462.8,Yes
Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,Electronic check,85.7,169.8,Yes
Female,No,No,No,63,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,No,Credit card (automatic),108.25,6780.1,No
Female,No,No,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),20.4,94.5,No
Male,No,No,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.25,208,No
Female,Yes,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,No,Electronic check,89.45,5294.6,No
Male,Yes,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,Electronic check,89.5,477.7,Yes
Male,Yes,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Yes,Electronic check,86.05,86.05,Yes
Male,No,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,19.4,168.65,No
Male,No,No,No,4,No,No phone service,DSL,No,No,No,No,Yes,Yes,Yes,Electronic check,44.55,174.3,Yes
Female,No,Yes,Yes,19,No,No phone service,DSL,No,No,No,No,No,No,Yes,Mailed check,24.85,434.8,No
Male,No,Yes,Yes,31,No,No phone service,DSL,Yes,No,No,Yes,No,No,No,Bank transfer (automatic),35.4,1077.5,Yes
Female,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,No,Mailed check,95.65,95.65,Yes
Male,No,No,No,3,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,No,Mailed check,41.35,107.25,No
Male,No,Yes,No,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Electronic check,19.6,851.2,No
Male,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.25,109.8,No
Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),19.65,19.65,No
Female,Yes,No,No,10,No,No phone service,DSL,No,No,No,No,No,Yes,Yes,Electronic check,34.7,329.8,Yes
Male,No,Yes,Yes,64,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,No,Electronic check,81.05,5135.35,No
Male,No,Yes,Yes,30,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,Electronic check,67.6,2000.2,No
Female,No,No,Yes,46,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Yes,Bank transfer (automatic),84.8,3958.85,No
Male,No,Yes,Yes,17,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,Electronic check,92.55,1515.1,Yes
Female,No,Yes,Yes,13,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Yes,Mailed check,63.15,816.8,No
Male,No,Yes,No,24,No,No phone service,DSL,No,No,Yes,No,No,No,No,Electronic check,29.1,688,No
Male,No,No,No,6,Yes,No,DSL,No,No,No,Yes,No,No,No,Mailed check,50.05,288.35,No
Male,Yes,Yes,No,16,Yes,No,Fiber optic,No,Yes,No,No,No,No,Yes,Credit card (automatic),74.3,1178.25,Yes
Male,No,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Electronic check,20,185.4,No
Male,No,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Yes,Electronic check,85.35,758.6,Yes
Male,Yes,No,No,7,No,No phone service,DSL,No,Yes,No,Yes,No,Yes,Yes,Electronic check,44.4,265.8,No
Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),98.1,396.3,Yes
Female,No,No,No,24,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Yes,Credit card (automatic),88.95,2072.75,No
Female,No,No,No,15,Yes,No,DSL,No,Yes,No,No,No,No,No,Electronic check,48.85,736.8,No
Male,No,No,No,4,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Yes,Electronic check,80.1,336.15,No
Female,No,No,No,28,Yes,No,DSL,Yes,Yes,No,No,No,No,No,Electronic check,56.05,1522.65,No
Female,Yes,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,74.55,622.9,Yes
Female,No,Yes,No,55,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Yes,Bank transfer (automatic),89.8,4959.6,No
Male,No,No,No,3,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Electronic check,100.95,329.95,Yes
Male,No,No,No,10,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Electronic check,94.9,1048.85,Yes
Female,No,Yes,Yes,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.35,442.6,No
Male,Yes,Yes,No,32,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,Electronic check,104.9,3351.55,Yes
Male,No,Yes,Yes,2,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,No,Electronic check,97.1,184.15,No
Male,Yes,No,No,37,No,No phone service,DSL,No,Yes,Yes,No,No,No,No,Electronic check,36.65,1315,No
Male,No,No,No,3,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Yes,Mailed check,88.35,262.05,Yes
Female,No,No,No,4,Yes,No,DSL,Yes,Yes,No,No,No,No,No,Electronic check,55.2,220.65,No
Male,Yes,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,74.4,74.4,Yes
Female,No,Yes,Yes,41,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,No,Credit card (automatic),79.9,3326.2,Yes
Male,No,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Electronic check,26.35,378.6,No
Male,No,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Yes,Mailed check,50.15,50.15,No
Male,Yes,No,No,8,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,69.7,560.85,Yes
Female,Yes,Yes,No,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Yes,Electronic check,98.1,1060.2,Yes
Male,No,No,No,49,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,No,Electronic check,98.7,4920.55,No
Female,No,Yes,Yes,23,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,No,Mailed check,84.4,1936.85,No
Male,No,No,No,3,No,No phone service,DSL,No,No,No,No,No,No,No,Electronic check,25.1,79.8,No
Female,No,No,No,4,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,No,Mailed check,48.25,202.25,No
Female,Yes,Yes,No,4,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,Electronic check,99.6,347.65,Yes
Female,No,Yes,No,26,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,No,Bank transfer (automatic),79.3,2015.8,No
Female,No,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.3,246.7,No
Male,Yes,Yes,No,60,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,Electronic check,99,6017.9,No
Male,No,No,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Yes,Electronic check,50.15,50.15,No
Female,No,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,20.55,252.75,No
Male,Yes,No,No,67,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Credit card (automatic),101.4,6841.05,No
Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes,Electronic check,81.95,81.95,Yes
Male,No,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,69.35,451.1,Yes
Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,No,Mailed check,44.6,44.6,No
Male,No,No,No,4,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Yes,Bank transfer (automatic),63.75,226.2,No
Female,No,No,No,12,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Yes,Electronic check,84.6,1017.35,No
Male,No,No,No,26,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Yes,Electronic check,85.75,2146.5,No
Female,No,No,No,6,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,Electronic check,91.1,455.3,Yes
Male,No,Yes,No,14,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Yes,Electronic check,86.1,1235.55,Yes
Male,No,No,No,25,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,Bank transfer (automatic),94.7,2362.1,Yes
Male,No,Yes,No,22,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,Electronic check,85.1,1873.7,Yes
Female,No,Yes,Yes,61,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Electronic check,99.15,6010.05,Yes
Male,No,Yes,No,22,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Yes,Bank transfer (automatic),87,1850.65,No
Male,Yes,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Electronic check,102.95,7101.5,Yes
Female,No,No,No,11,Yes,No,DSL,No,No,No,No,Yes,Yes,Yes,Electronic check,64.9,716.1,No
Female,No,No,No,60,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),104.95,6236.75,No
Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Yes,Mailed check,45.05,45.05,Yes
Female,Yes,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,71,71,Yes
Female,Yes,Yes,Yes,47,Yes,No,Fiber optic,No,No,No,No,No,No,No,Bank transfer (automatic),70.55,3309.25,Yes
Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes,Electronic check,79.7,79.7,Yes
Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.45,20.45,No
Female,Yes,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,69.25,69.25,Yes
Female,Yes,No,No,6,Yes,No,Fiber optic,Yes,No,No,No,No,No,Yes,Electronic check,74.1,450.9,No
Male,No,Yes,Yes,12,No,No phone service,DSL,No,Yes,No,Yes,No,No,No,Mailed check,35.5,432.25,No
Female,No,Yes,Yes,6,Yes,No,DSL,No,No,No,Yes,No,No,Yes,Mailed check,48.8,297.35,No
Male,No,Yes,No,20,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,Mailed check,89,1820.45,Yes
Male,No,Yes,No,18,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,Electronic check,99.4,1742.95,Yes
Female,No,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,No,Bank transfer (automatic),73.5,73.5,Yes
Male,Yes,Yes,No,32,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Yes,Electronic check,93.5,2970.8,No
Male,No,No,No,51,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Yes,Credit card (automatic),44.45,2181.55,No
Male,Yes,Yes,No,8,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Yes,Mailed check,43.35,371.4,No
Male,No,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,Electronic check,95.5,829.1,Yes
Male,No,No,No,54,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,No,Mailed check,89.8,4667,No
Male,No,No,No,11,Yes,No,Fiber optic,No,Yes,No,No,No,No,Yes,Electronic check,74.55,824.75,Yes
Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,69.9,69.9,No
Female,Yes,No,Yes,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),105.35,3465.05,No
Female,No,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),19.4,198.1,No
Male,No,No,No,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Mailed check,102.65,4108.15,No
Male,Yes,No,No,12,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Yes,Mailed check,83.8,1029.75,Yes
Male,No,No,No,12,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,Yes,Bank transfer (automatic),50.95,605.75,No
Male,No,No,No,9,Yes,No,Fiber optic,Yes,No,No,No,No,No,No,Electronic check,75.6,661.55,No
Female,No,Yes,Yes,51,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Yes,Electronic check,80.75,4116.9,No
Male,No,Yes,Yes,49,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Yes,Credit card (automatic),90.4,4494.65,No
Male,Yes,Yes,No,41,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Electronic check,99.8,4259.3,Yes
Male,No,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Electronic check,20.2,55.7,No
Female,No,Yes,Yes,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Credit card (automatic),20.25,493.95,No
Female,No,Yes,Yes,20,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),105.85,2239.65,Yes
Female,No,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,No,Mailed check,75.45,480.75,Yes
Male,No,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,Electronic check,93.85,635.6,Yes
Male,No,No,No,51,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Electronic check,99,5038.15,No
Female,No,No,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Yes,Mailed check,80.3,324.2,No
Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),19.55,19.55,No
Male,No,Yes,Yes,27,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,No,Electronic check,100.75,2793.55,No
Male,No,No,No,22,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,Electronic check,100.75,2095,Yes
Male,No,No,No,12,Yes,No,DSL,No,Yes,No,Yes,No,No,Yes,Mailed check,53.75,648.65,No
Female,No,Yes,Yes,3,No,No phone service,DSL,No,No,No,Yes,No,No,Yes,Mailed check,31,95.05,Yes
Male,No,No,No,51,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,No,Credit card (automatic),80,4242.35,Yes
Female,Yes,No,No,14,No,No phone service,DSL,No,No,No,No,Yes,Yes,Yes,Electronic check,46.35,672.7,No
Male,No,No,No,3,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,No,Electronic check,90.4,268.45,No
Male,Yes,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Mailed check,70.25,331.9,Yes
Female,No,Yes,Yes,62,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Electronic check,100.15,6283.3,Yes
Male,No,No,No,28,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Yes,Credit card (automatic),94.5,2659.4,Yes
Male,No,No,No,3,Yes,No,DSL,No,No,No,Yes,No,Yes,No,Mailed check,60.65,196.9,No
Male,No,No,Yes,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Credit card (automatic),24.1,439.2,No
Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,19.5,19.5,No
Male,No,No,No,24,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Yes,Electronic check,85.95,2107.15,No
Male,No,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,19.2,19.2,No
Male,No,No,No,10,No,No phone service,DSL,No,No,No,No,No,Yes,Yes,Mailed check,33.9,298.45,Yes
Female,Yes,Yes,No,37,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,No,Electronic check,90,3371.75,No
Male,No,No,No,12,No,No phone service,DSL,No,Yes,No,Yes,No,No,No,Mailed check,34,442.45,No
Female,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,No,Bank transfer (automatic),25.25,25.25,No
Female,No,No,No,18,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Yes,Mailed check,60.6,1156.35,No
Male,No,No,No,2,Yes,No,Fiber optic,No,Yes,No,No,No,No,Yes,Electronic check,74.75,144.8,No
Male,No,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.6,414.95,No
Male,No,No,No,12,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Yes,Electronic check,84.45,1059.55,Yes
Male,No,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.4,181.8,No
Male,No,No,Yes,27,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Yes,Electronic check,79.5,2180.55,Yes
Male,No,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,No,Mailed check,89.15,89.15,Yes
Female,Yes,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,20.3,459.95,No
Male,Yes,No,No,14,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,74.95,1036.75,Yes
Male,No,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,25,25,No
Female,No,No,No,3,Yes,No,DSL,No,No,No,No,No,Yes,Yes,Electronic check,55.3,196.15,Yes
Male,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.95,107.05,No
Female,No,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.95,38.15,No
Male,No,No,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.4,184.1,No
Female,No,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,20.7,137.6,No
Male,No,No,No,5,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Yes,Mailed check,43.25,219,Yes
Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Yes,Electronic check,79.55,79.55,Yes
Female,Yes,Yes,No,50,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,71.05,3444.85,Yes
Male,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,No,Electronic check,84.5,84.5,Yes
Female,Yes,Yes,No,25,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,69.3,1813.1,No
Male,No,No,Yes,1,Yes,No,DSL,No,Yes,No,No,No,No,Yes,Electronic check,49.9,49.9,No
Female,Yes,No,No,2,No,No phone service,DSL,No,No,Yes,No,No,No,Yes,Electronic check,30.4,78.65,Yes
Female,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Yes,Mailed check,45.4,45.4,Yes
Female,No,Yes,No,32,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,No,Bank transfer (automatic),84.15,2585.95,Yes
Female,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,No,Electronic check,44.45,82.7,No
Female,No,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Electronic check,19.75,58.85,Yes
Female,No,No,No,5,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Yes,Credit card (automatic),85.4,425.9,Yes
Male,No,Yes,No,37,Yes,Yes,DSL,Yes,No,No,No,No,No,Yes,Mailed check,55.05,2030.75,No
Male,No,No,Yes,49,Yes,Yes,Fiber optic,No,No,No,No,No,No,No,Credit card (automatic),75.2,3678.3,Yes
Male,Yes,No,No,23,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Electronic check,106.4,2483.5,Yes
Male,Yes,Yes,No,24,No,No phone service,DSL,No,No,Yes,Yes,No,No,No,Mailed check,34.25,828.2,No
Female,No,No,No,37,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Electronic check,100.05,3810.55,No
Female,No,No,No,21,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,68.65,1493.2,No
Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Yes,Mailed check,45.8,45.8,No
Male,No,No,No,6,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Yes,Electronic check,84.4,556.35,Yes
Female,No,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,20.55,187.35,No
Female,No,No,No,6,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,No,Credit card (automatic),50.95,307.6,No
Female,No,Yes,Yes,35,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Yes,Credit card (automatic),59.45,2136.9,No
Female,Yes,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Yes,Electronic check,85.55,187.45,Yes
Female,No,No,No,4,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Yes,Bank transfer (automatic),68.65,261.25,Yes
Male,No,No,No,2,No,No phone service,DSL,No,No,No,No,No,No,No,Mailed check,24.3,38.45,No
Male,No,No,No,4,Yes,No,Fiber optic,No,No,No,No,Yes,No,No,Electronic check,77.85,299.2,Yes
Male,No,No,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),105.35,323.25,Yes
Male,No,No,No,17,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),95.65,1640,No
Female,No,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Yes,Electronic check,87.05,762.1,Yes
Female,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Yes,Mailed check,25.1,25.1,Yes
Male,No,No,No,11,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,No,Electronic check,84.8,888.75,No
Male,No,No,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.4,42.9,No
Male,Yes,Yes,No,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Yes,Mailed check,79.65,2365.15,Yes
Female,No,Yes,No,55,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Yes,Credit card (automatic),94.45,5073.1,No
Female,No,No,No,58,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Yes,Bank transfer (automatic),79.8,4526.85,No
Female,No,No,No,5,Yes,No,DSL,Yes,No,No,Yes,No,No,No,Electronic check,54.2,308.25,Yes
Male,No,No,No,26,Yes,No,DSL,No,No,No,Yes,No,No,No,Bank transfer (automatic),49.15,1237.3,No
Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.1,19.1,No
Male,No,No,No,5,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,No,Bank transfer (automatic),75.15,392.65,No
Female,No,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Yes,Electronic check,84.45,1058.6,Yes
Female,Yes,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Yes,Credit card (automatic),85.95,2628.6,Yes
Male,No,No,No,16,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Credit card (automatic),69.95,1205.5,No
Male,No,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19,78.9,No
Female,No,Yes,Yes,26,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,No,Credit card (automatic),38.85,1025.15,No
Male,No,No,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),20.35,122,No
Female,No,Yes,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),19.2,702.9,No
Female,Yes,No,No,38,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,Electronic check,99.55,3734.25,Yes
Female,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Yes,Electronic check,45.3,45.3,Yes
Male,No,No,No,14,Yes,No,Fiber optic,No,No,Yes,No,No,No,No,Electronic check,76.45,1117.55,No
Male,Yes,No,No,2,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Yes,Credit card (automatic),95.1,180.25,Yes
Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.8,19.8,Yes
Male,No,Yes,Yes,13,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Yes,Electronic check,72.8,930.05,No
Male,No,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,18.95,110.15,No
Female,No,No,No,4,Yes,No,Fiber optic,No,Yes,No,No,No,No,Yes,Bank transfer (automatic),76.65,333.6,Yes
Female,No,Yes,Yes,5,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Yes,Mailed check,99.15,465.05,Yes
Female,No,Yes,No,15,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,No,Electronic check,101.75,1669.4,No
Female,No,No,No,47,Yes,No,Fiber optic,Yes,No,No,No,No,No,No,Credit card (automatic),75.45,3545.1,No
Female,No,No,No,8,Yes,No,DSL,No,No,Yes,Yes,No,Yes,No,Mailed check,64.1,504.05,No
Male,No,No,No,17,No,No phone service,DSL,No,No,No,No,No,No,Yes,Mailed check,25.65,440.2,No
Male,No,Yes,Yes,15,Yes,No,Fiber optic,Yes,No,No,No,No,No,No,Mailed check,75.1,1151.55,No
Female,No,No,No,23,Yes,Yes,DSL,Yes,No,No,No,No,No,No,Electronic check,54.4,1249.25,No
Female,Yes,No,No,4,Yes,No,Fiber optic,No,Yes,No,No,No,No,No,Electronic check,72.75,317.75,No
Female,No,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.05,461.3,No
Male,No,No,No,19,Yes,Yes,DSL,No,No,No,No,Yes,Yes,No,Mailed check,69.6,1394.55,No
Male,Yes,No,No,39,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,No,Electronic check,90.7,3413.25,No
Male,No,No,No,31,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Electronic check,101.4,3143.65,No
Male,No,Yes,No,14,Yes,No,DSL,No,No,No,Yes,No,No,No,Bank transfer (automatic),48.8,664.4,No
